[0, 17, 51, 55, 46, 34, 42, 25, 38, 12, 59, 4, 29, 8, 63, 21, 33, 3, 7, 16, 50, 58, 41, 62, 28, 11, 20, 54, 24, 15, 37, 45, 19, 23, 32, 49, 10, 57, 14, 2, 27, 36, 6, 44, 31, 53, 61, 40, 39, 48, 1, 35, 9, 30, 18, 26, 52, 22, 60, 43, 5, 13, 56, 47]
[0, 51, 17, 21, 46, 34, 42, 59, 38, 12, 25, 4, 63, 8, 29, 55, 3, 33, 37, 16, 50, 58, 11, 62, 28, 41, 20, 54, 24, 45, 7, 15, 49, 53, 32, 19, 10, 27, 14, 2, 57, 36, 6, 44, 61, 23, 31, 40, 5, 48, 35, 1, 43, 30, 18, 26, 52, 22, 60, 9, 39, 47, 56, 13]
[17, 0, 34, 38, 63, 51, 59, 8, 55, 29, 42, 21, 12, 25, 46, 4, 16, 50, 54, 33, 3, 11, 24, 15, 45, 58, 37, 7, 41, 62, 20, 28, 2, 6, 49, 32, 27, 40, 31, 19, 10, 53, 23, 61, 14, 36, 44, 57, 22, 1, 48, 18, 56, 47, 35, 43, 5, 39, 13, 26, 52, 60, 9, 30]
[51, 0, 34, 38, 29, 17, 25, 8, 21, 63, 42, 55, 12, 59, 46, 4, 16, 50, 54, 3, 33, 41, 24, 45, 15, 58, 7, 37, 11, 62, 20, 28, 2, 6, 19, 32, 57, 40, 61, 49, 10, 23, 53, 31, 14, 36, 44, 27, 22, 35, 48, 18, 56, 13, 1, 9, 39, 5, 47, 26, 52, 60, 43, 30]
[17, 34, 0, 4, 63, 51, 59, 42, 55, 29, 8, 21, 46, 25, 12, 38, 50, 16, 20, 33, 3, 11, 58, 15, 45, 24, 37, 7, 41, 28, 54, 62, 32, 36, 49, 2, 27, 10, 31, 19, 40, 53, 23, 61, 44, 6, 14, 57, 52, 1, 18, 48, 26, 47, 35, 43, 5, 39, 13, 56, 22, 30, 9, 60]
[51, 34, 0, 4, 29, 17, 25, 42, 21, 63, 8, 55, 46, 59, 12, 38, 50, 16, 20, 3, 33, 41, 58, 45, 15, 24, 7, 37, 11, 28, 54, 62, 32, 36, 19, 2, 57, 10, 61, 49, 40, 23, 53, 31, 44, 6, 14, 27, 52, 35, 18, 48, 26, 13, 1, 9, 39, 5, 47, 56, 22, 30, 43, 60]
[34, 17, 51, 55, 12, 0, 8, 25, 4, 46, 59, 38, 29, 42, 63, 21, 33, 3, 7, 50, 16, 24, 41, 28, 62, 11, 54, 20, 58, 15, 37, 45, 19, 23, 2, 49, 40, 57, 44, 32, 27, 6, 36, 14, 31, 53, 61, 10, 39, 18, 1, 35, 9, 60, 48, 56, 22, 52, 30, 43, 5, 13, 26, 47]
[34, 51, 17, 21, 12, 0, 8, 59, 4, 46, 25, 38, 63, 42, 29, 55, 3, 33, 37, 50, 16, 24, 11, 28, 62, 41, 54, 20, 58, 45, 7, 15, 49, 53, 2, 19, 40, 27, 44, 32, 57, 6, 36, 14, 61, 23, 31, 10, 5, 18, 35, 1, 43, 60, 48, 56, 22, 52, 30, 9, 39, 47, 26, 13]
[0, 17, 51, 63, 38, 34, 42, 25, 46, 4, 59, 12, 21, 8, 55, 29, 33, 3, 15, 16, 50, 58, 41, 54, 20, 11, 28, 62, 24, 7, 45, 37, 19, 31, 32, 49, 10, 57, 6, 2, 27, 44, 14, 36, 23, 61, 53, 40, 47, 48, 1, 35, 9, 22, 18, 26, 60, 30, 52, 43, 13, 5, 56, 39]
[0, 51, 17, 29, 38, 34, 42, 59, 46, 4, 25, 12, 55, 8, 21, 63, 3, 33, 45, 16, 50, 58, 11, 54, 20, 41, 28, 62, 24, 37, 15, 7, 49, 61, 32, 19, 10, 27, 6, 2, 57, 44, 14, 36, 53, 31, 23, 40, 13, 48, 35, 1, 43, 22, 18, 26, 60, 30, 52, 9, 47, 39, 56, 5]
