['01', '20', '30', '23']
['01', '20', '30', '10']
['01', '20', '30', '12']
['01', '20', '30', '13']
['01', '20', '30', '31']
['01', '20', '30', '32']
['01', '20', '31', '02']
['01', '20', '31', '03']
['01', '20', '31', '21']
['01', '20', '31', '23']
['01', '20', '31', '10']
['01', '20', '31', '12']
['01', '20', '31', '13']
['01', '20', '31', '30']
['01', '20', '31', '32']
['01', '20', '32', '02']
['01', '20', '32', '03']
['01', '20', '32', '21']
['01', '20', '32', '23']
['01', '20', '32', '10']
['01', '20', '32', '12']
['01', '20', '32', '13']
['01', '20', '32', '30']
['01', '20', '32', '31']
['01', '21', '02', '03']
['01', '21', '02', '20']
['01', '21', '02', '23']
['01', '21', '02', '10']
['01', '21', '02', '12']
['01', '21', '02', '13']
['01', '21', '02', '30']
['01', '21', '02', '31']
['01', '21', '02', '32']
['01', '21', '03', '02']
['01', '21', '03', '20']
['01', '21', '03', '23']
['01', '21', '03', '10']
['01', '21', '03', '12']
['01', '21', '03', '13']
['01', '21', '03', '30']
['01', '21', '03', '31']
['01', '21', '03', '32']
['01', '21', '20', '02']
['01', '21', '20', '03']
['01', '21', '20', '23']
['01', '21', '20', '10']
['01', '21', '20', '12']
['01', '21', '20', '13']
['01', '21', '20', '30']
['01', '21', '20', '31']
['01', '21', '20', '32']
['01', '21', '23', '02']
['01', '21', '23', '03']
['01', '21', '23', '20']
['01', '21', '23', '10']
['01', '21', '23', '12']
['01', '21', '23', '13']
['01', '21', '23', '30']
['01', '21', '23', '31']
['01', '21', '23', '32']
['01', '21', '10', '02']
['01', '21', '10', '03']
['01', '21', '10', '20']
['01', '21', '10', '23']
['01', '21', '10', '12']
['01', '21', '10', '13']
['01', '21', '10', '30']
['01', '21', '10', '31']
['01', '21', '10', '32']
['01', '21', '12', '02']
['01', '21', '12', '03']
['01', '21', '12', '20']
['01', '21', '12', '23']
['01', '21', '12', '10']
['01', '21', '12', '13']
['01', '21', '12', '30']
['01', '21', '12', '31']
['01', '21', '12', '32']
['01', '21', '13', '02']
['01', '21', '13', '03']
['01', '21', '13', '20']
['01', '21', '13', '23']
['01', '21', '13', '10']
['01', '21', '13', '12']
['01', '21', '13', '30']
['01', '21', '13', '31']
['01', '21', '13', '32']
['01', '21', '30', '02']
['01', '21', '30', '03']
['01', '21', '30', '20']
['01', '21', '30', '23']
['01', '21', '30', '10']
['01', '21', '30', '12']
['01', '21', '30', '13']
['01', '21', '30', '31']
['01', '21', '30', '32']
['01', '21', '31', '02']
['01', '21', '31', '03']
['01', '21', '31', '20']
['01', '21', '31', '23']
['01', '21', '31', '10']
['01', '21', '31', '12']
['01', '21', '31', '13']
['01', '21', '31', '30']
['01', '21', '31', '32']
['01', '21', '32', '02']
['01', '21', '32', '03']
['01', '21', '32', '20']
['01', '21', '32', '23']
['01', '21', '32', '10']
['01', '21', '32', '12']
['01', '21', '32', '13']
['01', '21', '32', '30']
['01', '21', '32', '31']
['01', '23', '02', '03']
['01', '23', '02', '20']
['01', '23', '02', '21']
['01', '23', '02', '10']
['01', '23', '02', '12']
['01', '23', '02', '13']
['01', '23', '02', '30']
['01', '23', '02', '31']
['01', '23', '02', '32']
['01', '23', '03', '02']
['01', '23', '03', '20']
['01', '23', '03', '21']
['01', '23', '03', '10']
['01', '23', '03', '12']
['01', '23', '03', '13']
['01', '23', '03', '30']
['01', '23', '03', '31']
['01', '23', '03', '32']
['01', '23', '20', '02']
['01', '23', '20', '03']
['01', '23', '20', '21']
['01', '23', '20', '10']
['01', '23', '20', '12']
['01', '23', '20', '13']
['01', '23', '20', '30']
['01', '23', '20', '31']
['01', '23', '20', '32']
['01', '23', '21', '02']
['01', '23', '21', '03']
['01', '23', '21', '20']
['01', '23', '21', '10']
['01', '23', '21', '12']
['01', '23', '21', '13']
['01', '23', '21', '30']
['01', '23', '21', '31']
['01', '23', '21', '32']
['01', '23', '10', '02']
['01', '23', '10', '03']
['01', '23', '10', '20']
['01', '23', '10', '21']
['01', '23', '10', '12']
['01', '23', '10', '13']
['01', '23', '10', '30']
['01', '23', '10', '31']
['01', '23', '10', '32']
['01', '23', '12', '02']
['01', '23', '12', '03']
['01', '23', '12', '20']
['01', '23', '12', '21']
['01', '23', '12', '10']
