[12, 15, 2, 14, 1, 13, 0, 3, 7, 4, 6, 10, 5, 9, 11, 8]
[12, 13, 3, 15, 2, 14, 0, 1, 5, 4, 7, 11, 6, 10, 9, 8]
[12, 14, 1, 13, 3, 15, 0, 2, 6, 4, 5, 9, 7, 11, 10, 8]
[4, 7, 2, 6, 1, 5, 0, 3, 11, 8, 10, 14, 9, 13, 15, 12]
[4, 5, 3, 7, 2, 6, 0, 1, 9, 8, 11, 15, 10, 14, 13, 12]
[4, 6, 1, 5, 3, 7, 0, 2, 10, 8, 9, 13, 11, 15, 14, 12]
[8, 11, 2, 10, 1, 9, 0, 3, 15, 12, 14, 6, 13, 5, 7, 4]
[8, 9, 3, 11, 2, 10, 0, 1, 13, 12, 15, 7, 14, 6, 5, 4]
[8, 10, 1, 9, 3, 11, 0, 2, 14, 12, 13, 5, 15, 7, 6, 4]
[12, 15, 2, 14, 1, 13, 0, 3, 7, 4, 6, 10, 5, 9, 11, 8]
[4, 7, 2, 6, 1, 5, 0, 3, 11, 8, 10, 14, 9, 13, 15, 12]
[8, 11, 2, 10, 1, 9, 0, 3, 15, 12, 14, 6, 13, 5, 7, 4]
[12, 13, 3, 15, 2, 14, 0, 1, 5, 4, 7, 11, 6, 10, 9, 8]
[4, 5, 3, 7, 2, 6, 0, 1, 9, 8, 11, 15, 10, 14, 13, 12]
[8, 9, 3, 11, 2, 10, 0, 1, 13, 12, 15, 7, 14, 6, 5, 4]
[12, 14, 1, 13, 3, 15, 0, 2, 6, 4, 5, 9, 7, 11, 10, 8]
[4, 6, 1, 5, 3, 7, 0, 2, 10, 8, 9, 13, 11, 15, 14, 12]
[8, 10, 1, 9, 3, 11, 0, 2, 14, 12, 13, 5, 15, 7, 6, 4]
[12, 15, 2, 14, 1, 13, 0, 3, 7, 4, 6, 10, 5, 9, 11, 8]
[12, 13, 3, 15, 2, 14, 0, 1, 5, 4, 7, 11, 6, 10, 9, 8]
[12, 14, 1, 13, 3, 15, 0, 2, 6, 4, 5, 9, 7, 11, 10, 8]
[12, 15, 2, 14, 1, 13, 0, 3, 7, 4, 6, 10, 5, 9, 11, 8]
[12, 13, 3, 15, 2, 14, 0, 1, 5, 4, 7, 11, 6, 10, 9, 8]
[12, 14, 1, 13, 3, 15, 0, 2, 6, 4, 5, 9, 7, 11, 10, 8]
[4, 7, 2, 6, 1, 5, 0, 3, 11, 8, 10, 14, 9, 13, 15, 12]
[4, 5, 3, 7, 2, 6, 0, 1, 9, 8, 11, 15, 10, 14, 13, 12]
[4, 6, 1, 5, 3, 7, 0, 2, 10, 8, 9, 13, 11, 15, 14, 12]
[4, 7, 2, 6, 1, 5, 0, 3, 11, 8, 10, 14, 9, 13, 15, 12]
[4, 5, 3, 7, 2, 6, 0, 1, 9, 8, 11, 15, 10, 14, 13, 12]
[4, 6, 1, 5, 3, 7, 0, 2, 10, 8, 9, 13, 11, 15, 14, 12]
[8, 11, 2, 10, 1, 9, 0, 3, 15, 12, 14, 6, 13, 5, 7, 4]
[8, 9, 3, 11, 2, 10, 0, 1, 13, 12, 15, 7, 14, 6, 5, 4]
[8, 10, 1, 9, 3, 11, 0, 2, 14, 12, 13, 5, 15, 7, 6, 4]
[8, 11, 2, 10, 1, 9, 0, 3, 15, 12, 14, 6, 13, 5, 7, 4]
[8, 9, 3, 11, 2, 10, 0, 1, 13, 12, 15, 7, 14, 6, 5, 4]
[8, 10, 1, 9, 3, 11, 0, 2, 14, 12, 13, 5, 15, 7, 6, 4]
